iso3,year_id,fatalities,events_count,battles_count,protests_count,conflict_type,source,loaded_at
SDN,2014,4165,1367,269,203,Violence against civilians,acled,2026-04-20 19:50:05
KHM,2014,23,270,2,230,Protests,acled,2026-04-20 19:50:05
MWI,2014,11,35,0,28,Riots,acled,2026-04-20 19:50:05
ZAF,2014,154,1090,2,986,Riots,acled,2026-04-20 19:50:05
BGD,2014,391,1124,199,656,Riots,acled,2026-04-20 19:50:05
LBR,2014,26,114,1,97,Protests,acled,2026-04-20 19:50:05
TUN,2014,104,301,54,193,Protests,acled,2026-04-20 19:50:05
PAK,2014,5415,4200,537,2552,Protests,acled,2026-04-20 19:50:05
KEN,2014,613,472,71,288,Protests,acled,2026-04-20 19:50:05
ZMB,2014,7,114,6,74,Riots,acled,2026-04-20 19:50:05
NPL,2014,6,250,1,235,Protests,acled,2026-04-20 19:50:05
SOM,2014,4470,2946,1534,211,Battles,acled,2026-04-20 19:50:05
DJI,2014,11,23,8,1,Violence against civilians,acled,2026-04-20 19:50:05
BWA,2014,0,5,0,4,Protests,acled,2026-04-20 19:50:05
VNM,2014,29,47,1,29,Protests,acled,2026-04-20 19:50:05
SLE,2014,2,16,1,11,Riots,acled,2026-04-20 19:50:05
NGA,2014,11389,1526,303,626,Violence against civilians,acled,2026-04-20 19:50:05
EGY,2014,1363,1591,288,882,Protests,acled,2026-04-20 19:50:05
ETH,2014,335,132,33,79,Protests,acled,2026-04-20 19:50:05
TGO,2014,0,14,0,13,Protests,acled,2026-04-20 19:50:05
DZA,2014,229,283,76,175,Protests,acled,2026-04-20 19:50:05
BDI,2014,73,74,17,16,Violence against civilians,acled,2026-04-20 19:50:05
GAB,2014,2,14,0,14,Protests,acled,2026-04-20 19:50:05
GHA,2014,14,49,5,35,Protests,acled,2026-04-20 19:50:05
GNB,2014,22,5,0,0,Violence against civilians,acled,2026-04-20 19:50:05
MRT,2014,1,51,0,49,Protests,acled,2026-04-20 19:50:05
MLI,2014,382,158,43,20,Explosions/Remote violence,acled,2026-04-20 19:50:05
MAR,2014,4,137,3,110,Protests,acled,2026-04-20 19:50:05
MOZ,2014,57,142,56,44,Battles,acled,2026-04-20 19:50:05
RWA,2014,4,12,1,5,Protests,acled,2026-04-20 19:50:05
SEN,2014,11,130,2,112,Protests,acled,2026-04-20 19:50:05
SWZ,2014,0,11,1,8,Protests,acled,2026-04-20 19:50:05
MMR,2014,501,898,287,465,Protests,acled,2026-04-20 19:50:05
ERI,2014,10,3,0,2,Protests,acled,2026-04-20 19:50:05
TCD,2014,50,20,3,10,Protests,acled,2026-04-20 19:50:05
LSO,2014,1,10,3,0,Strategic developments,acled,2026-04-20 19:50:05
SSD,2014,6447,1008,540,69,Battles,acled,2026-04-20 19:50:05
GMB,2014,3,8,0,4,Violence against civilians,acled,2026-04-20 19:50:05
LAO,2014,0,1,0,1,Protests,acled,2026-04-20 19:50:05
CIV,2014,33,100,17,62,Protests,acled,2026-04-20 19:50:05
GIN,2014,13,40,4,30,Riots,acled,2026-04-20 19:50:05
COG,2014,11,19,1,6,Violence against civilians,acled,2026-04-20 19:50:05
LBY,2014,3351,1611,602,232,Battles,acled,2026-04-20 19:50:05
BEN,2014,0,7,0,7,Protests,acled,2026-04-20 19:50:05
COD,2014,1233,1051,363,205,Battles,acled,2026-04-20 19:50:05
ZWE,2014,7,198,5,118,Protests,acled,2026-04-20 19:50:05
THA,2014,424,1303,179,417,Protests,acled,2026-04-20 19:50:05
MDG,2014,465,133,39,56,Battles,acled,2026-04-20 19:50:05
