iso3,year_id,indicator_code,value,obs_status,loaded_at
AFG,2023,NY.GDP.PCAP.CD,413.757895,,2026-04-20 18:33:21
AFG,2022,NY.GDP.PCAP.CD,357.261153,,2026-04-20 18:33:21
AFG,2021,NY.GDP.PCAP.CD,356.496214,,2026-04-20 18:33:21
AFG,2020,NY.GDP.PCAP.CD,510.787063,,2026-04-20 18:33:21
AFG,2019,NY.GDP.PCAP.CD,496.602504,,2026-04-20 18:33:21
AFG,2018,NY.GDP.PCAP.CD,491.337221,,2026-04-20 18:33:21
AFG,2017,NY.GDP.PCAP.CD,525.469771,,2026-04-20 18:33:21
AFG,2016,NY.GDP.PCAP.CD,522.082216,,2026-04-20 18:33:21
AFG,2015,NY.GDP.PCAP.CD,565.56973,,2026-04-20 18:33:21
AFG,2014,NY.GDP.PCAP.CD,625.054942,,2026-04-20 18:33:21
ALB,2023,NY.GDP.PCAP.CD,9730.869219,,2026-04-20 18:33:21
ALB,2022,NY.GDP.PCAP.CD,7756.961887,,2026-04-20 18:33:21
ALB,2021,NY.GDP.PCAP.CD,7242.455131,,2026-04-20 18:33:21
ALB,2020,NY.GDP.PCAP.CD,6027.913507,,2026-04-20 18:33:21
ALB,2019,NY.GDP.PCAP.CD,6069.439031,,2026-04-20 18:33:21
ALB,2018,NY.GDP.PCAP.CD,5897.654526,,2026-04-20 18:33:21
ALB,2017,NY.GDP.PCAP.CD,5006.36013,,2026-04-20 18:33:21
ALB,2016,NY.GDP.PCAP.CD,4457.634122,,2026-04-20 18:33:21
ALB,2015,NY.GDP.PCAP.CD,4199.539129,,2026-04-20 18:33:21
ALB,2014,NY.GDP.PCAP.CD,4793.597511,,2026-04-20 18:33:21
DZA,2023,NY.GDP.PCAP.CD,5370.477235,,2026-04-20 18:33:21
DZA,2022,NY.GDP.PCAP.CD,4960.303343,,2026-04-20 18:33:21
DZA,2021,NY.GDP.PCAP.CD,4160.559267,,2026-04-20 18:33:21
DZA,2020,NY.GDP.PCAP.CD,3743.541952,,2026-04-20 18:33:21
DZA,2019,NY.GDP.PCAP.CD,4468.453419,,2026-04-20 18:33:21
DZA,2018,NY.GDP.PCAP.CD,4577.210292,,2026-04-20 18:33:21
DZA,2017,NY.GDP.PCAP.CD,4554.66754,,2026-04-20 18:33:21
DZA,2016,NY.GDP.PCAP.CD,4424.98529,,2026-04-20 18:33:21
DZA,2015,NY.GDP.PCAP.CD,4685.059027,,2026-04-20 18:33:21
DZA,2014,NY.GDP.PCAP.CD,6094.693923,,2026-04-20 18:33:21
ASM,2023,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
ASM,2022,NY.GDP.PCAP.CD,18017.458938,,2026-04-20 18:33:21
ASM,2021,NY.GDP.PCAP.CD,15236.160488,,2026-04-20 18:33:21
ASM,2020,NY.GDP.PCAP.CD,14489.258656,,2026-04-20 18:33:21
ASM,2019,NY.GDP.PCAP.CD,12886.135952,,2026-04-20 18:33:21
ASM,2018,NY.GDP.PCAP.CD,12552.054687,,2026-04-20 18:33:21
ASM,2017,NY.GDP.PCAP.CD,11863.683945,,2026-04-20 18:33:21
ASM,2016,NY.GDP.PCAP.CD,12843.33429,,2026-04-20 18:33:21
ASM,2015,NY.GDP.PCAP.CD,12727.410265,,2026-04-20 18:33:21
ASM,2014,NY.GDP.PCAP.CD,12026.334493,,2026-04-20 18:33:21
AND,2023,NY.GDP.PCAP.CD,46812.426101,,2026-04-20 18:33:21
AND,2022,NY.GDP.PCAP.CD,42414.047986,,2026-04-20 18:33:21
AND,2021,NY.GDP.PCAP.CD,42425.706645,,2026-04-20 18:33:21
AND,2020,NY.GDP.PCAP.CD,37361.107008,,2026-04-20 18:33:21
AND,2019,NY.GDP.PCAP.CD,41257.816459,,2026-04-20 18:33:21
AND,2018,NY.GDP.PCAP.CD,42819.757746,,2026-04-20 18:33:21
AND,2017,NY.GDP.PCAP.CD,40672.971742,,2026-04-20 18:33:21
AND,2016,NY.GDP.PCAP.CD,40129.838581,,2026-04-20 18:33:21
AND,2015,NY.GDP.PCAP.CD,38654.952879,,2026-04-20 18:33:21
AND,2014,NY.GDP.PCAP.CD,44369.671298,,2026-04-20 18:33:21
AGO,2023,NY.GDP.PCAP.CD,2916.136633,,2026-04-20 18:33:21
AGO,2022,NY.GDP.PCAP.CD,3682.113151,,2026-04-20 18:33:21
AGO,2021,NY.GDP.PCAP.CD,2303.908127,,2026-04-20 18:33:21
AGO,2020,NY.GDP.PCAP.CD,1759.356199,,2026-04-20 18:33:21
AGO,2019,NY.GDP.PCAP.CD,2493.678844,,2026-04-20 18:33:21
AGO,2018,NY.GDP.PCAP.CD,2860.093648,,2026-04-20 18:33:21
AGO,2017,NY.GDP.PCAP.CD,2790.718869,,2026-04-20 18:33:21
AGO,2016,NY.GDP.PCAP.CD,2051.814621,,2026-04-20 18:33:21
AGO,2015,NY.GDP.PCAP.CD,3641.728939,,2026-04-20 18:33:21
AGO,2014,NY.GDP.PCAP.CD,5649.687625,,2026-04-20 18:33:21
ATG,2023,NY.GDP.PCAP.CD,21494.5474,,2026-04-20 18:33:21
ATG,2022,NY.GDP.PCAP.CD,20105.198909,,2026-04-20 18:33:21
ATG,2021,NY.GDP.PCAP.CD,17348.600699,,2026-04-20 18:33:21
ATG,2020,NY.GDP.PCAP.CD,15369.608225,,2026-04-20 18:33:21
ATG,2019,NY.GDP.PCAP.CD,18896.372183,,2026-04-20 18:33:21
ATG,2018,NY.GDP.PCAP.CD,18273.427068,,2026-04-20 18:33:21
ATG,2017,NY.GDP.PCAP.CD,16965.728827,,2026-04-20 18:33:21
ATG,2016,NY.GDP.PCAP.CD,16556.85518,,2026-04-20 18:33:21
ATG,2015,NY.GDP.PCAP.CD,16077.634077,,2026-04-20 18:33:21
ATG,2014,NY.GDP.PCAP.CD,15532.106206,,2026-04-20 18:33:21
ARG,2023,NY.GDP.PCAP.CD,14261.846567,,2026-04-20 18:33:21
ARG,2022,NY.GDP.PCAP.CD,13962.189409,,2026-04-20 18:33:21
ARG,2021,NY.GDP.PCAP.CD,10738.017922,,2026-04-20 18:33:21
ARG,2020,NY.GDP.PCAP.CD,8535.59938,,2026-04-20 18:33:21
