iso2;year_id;anchor_term;interest_raw
AD;2019;amazon;3142.0
AD;2020;amazon;3234.0
AD;2021;amazon;2907.0
AD;2022;amazon;3000.0
AD;2023;amazon;2913.0
AE;2019;amazon;2318.0
AE;2020;amazon;3856.0
AE;2021;amazon;3633.0
AE;2022;amazon;3792.0
AE;2023;amazon;3870.0
AF;2019;amazon;3735.0
AF;2020;amazon;3334.0
AF;2021;amazon;1594.0
AF;2022;amazon;1020.0
AF;2023;amazon;1422.0
AG;2019;amazon;2627.0
AG;2020;amazon;2892.0
AG;2021;amazon;3087.0
AG;2022;amazon;3040.0
AG;2023;amazon;3380.0
AL;2019;amazon;1895.0
AL;2020;amazon;1718.0
AL;2021;amazon;1737.0
AL;2022;amazon;1902.0
AL;2023;amazon;1990.0
AM;2019;amazon;2955.0
AM;2020;amazon;2814.0
AM;2021;amazon;2682.0
AM;2022;amazon;3425.0
AM;2023;amazon;3537.0
AO;2019;amazon;3565.0
AO;2020;amazon;3846.0
AO;2021;amazon;3549.0
AO;2022;amazon;4020.0
AO;2023;amazon;3273.0
AR;2019;amazon;1767.0
AR;2020;amazon;2884.0
AR;2021;amazon;2703.0
AR;2022;amazon;2788.0
AR;2023;amazon;2500.0
AS;2019;amazon;737.0
AS;2020;amazon;1198.0
AS;2021;amazon;1458.0
AS;2022;amazon;2168.0
AS;2023;amazon;1879.0
AT;2019;amazon;2956.0
AT;2020;amazon;3120.0
AT;2021;amazon;2604.0
AT;2022;amazon;2527.0
AT;2023;amazon;2572.0
AU;2019;amazon;2037.0
AU;2020;amazon;2638.0
AU;2021;amazon;2631.0
AU;2022;amazon;3288.0
AU;2023;amazon;3727.0
AW;2019;amazon;3144.0
AW;2020;amazon;3653.0
AW;2021;amazon;3551.0
AW;2022;amazon;3551.0
AW;2023;amazon;3702.0
AZ;2019;amazon;3322.0
AZ;2020;amazon;2954.0
AZ;2021;amazon;2811.0
AZ;2022;amazon;3523.0
AZ;2023;amazon;3803.0
BA;2019;amazon;2154.0
BA;2020;amazon;1801.0
BA;2021;amazon;1855.0
BA;2022;amazon;2132.0
BA;2023;amazon;2230.0
BB;2019;amazon;3608.0
BB;2020;amazon;2842.0
BB;2021;amazon;2919.0
BB;2022;amazon;3116.0
BB;2023;amazon;3774.0
BD;2019;amazon;2180.0
